Segment,Region,Sub-Category,Group,Period,Sales (USD),Profit (USD),Discount,Quantity
Home Office,West,Labels,Low-Value,Jul 2022,27,1,0,59
Home Office,South,Appliances,High-Value,Jan 2020,95,10,5,63
Corporate,Central,Copiers,High-Value,Jul 2022,139,25,0,60
Consumer,East,Business Machines,High-Value,Jul 2022,190,28,0,60
Home Office,East,Business Machines,High-Value,Jan 2022,181,19,5,63
Consumer,West,Copiers,High-Value,Jan 2020,195,24,0,58
Home Office,Central,Other Miscellaneous 2,Low-Value,Jul 2022,1,4,5,58
Home Office,South,Furnishings,High-Value,Jul 2021,67,14,0,64
Consumer,Central,Other Miscellaneous 5,Low-Value,Jul 2022,1,1,0,59
Consumer,East,Employees (Office Supplies),Low-Value,Jul 2022,47,7,0,61
Corporate,West,Copiers,High-Value,Jul 2022,168,16,0,60
Corporate,South,Other Miscellaneous 3,Low-Value,Jan 2022,33,13,0,60
Corporate,Central,Employees (Office Supplies),Low-Value,Jul 2022,22,1,0,61
Corporate,South,Labels,Low-Value,Jul 2021,70,10,10,61
Corporate,West,Other Miscellaneous 4,Low-Value,Jul 2022,36,1,0,60
Consumer,West,Other Miscellaneous 6,Low-Value,Jul 2021,1,1,0,60
Consumer,South,Other Miscellaneous 6,Low-Value,Jul 2021,18,1,0,60
Corporate,South,Supplies,Mid-Value,Jul 2022,74,5,0,59
Home Office,South,Furnishings,High-Value,Jan 2021,116,16,0,60
Corporate,West,Art,Low-Value,Jul 2021,64,1,0,63
Home Office,East,Fasteners,Low-Value,Jul 2020,31,6,0,59
Consumer,East,Copiers,High-Value,Jul 2022,124,16,0,64
Consumer,West,Supplies,Mid-Value,Jan 2022,97,14,5,58
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2021,50,6,0,62
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2022,53,6,0,61
Consumer,South,Furnishings,High-Value,Jan 2022,101,8,0,59
Corporate,West,Furnishings,High-Value,Jan 2021,128,9,0,61
Corporate,West,Fasteners,Low-Value,Jul 2022,80,8,5,57
Consumer,West,Fasteners,Low-Value,Jan 2022,45,1,0,63
Corporate,Central,Other Miscellaneous 5,Low-Value,Jan 2022,50,11,0,59
Home Office,Central,Appliances,High-Value,Jul 2022,113,15,0,64
Consumer,West,Furnishings,High-Value,Jul 2021,101,6,0,58
Corporate,South,Fasteners,Low-Value,Jul 2022,41,1,10,60
Corporate,West,Supplies,Mid-Value,Jan 2022,103,15,0,61
Home Office,South,Other Miscellaneous 6,Low-Value,Jan 2022,19,4,0,59
Consumer,West,Bookcases,High-Value,Jul 2022,115,6,0,60
Consumer,East,Art,Low-Value,Jan 2022,38,1,0,62
Consumer,South,Labels,Low-Value,Jul 2021,55,1,5,61
Consumer,South,Bookcases,High-Value,Jul 2022,78,18,5,60
Corporate,East,Other Miscellaneous 3,Low-Value,Jan 2021,12,1,0,58
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2021,11,7,0,62
Corporate,East,Supplies,Mid-Value,Jul 2021,107,17,0,62
Corporate,South,Furnishings,High-Value,Jan 2022,108,11,0,59
Corporate,South,Employees (Office Supplies),Low-Value,Jan 2021,26,6,0,62
Corporate,West,Copiers,High-Value,Jul 2022,159,16,0,60
Home Office,West,Art,Low-Value,Jul 2020,41,11,0,58
Corporate,Central,Supplies,Mid-Value,Jul 2021,105,8,10,62
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2022,1,3,0,57
Corporate,South,Accessories,High-Value,Jul 2020,162,26,0,57
Consumer,Central,Other Miscellaneous 2,Low-Value,Jul 2022,46,6,0,63
Corporate,West,Fasteners,Low-Value,Jan 2021,67,15,0,61
Home Office,Central,Supplies,Mid-Value,Jan 2022,118,13,0,59
Consumer,Central,Furnishings,High-Value,Jul 2022,90,10,10,59
Consumer,West,Employees (Office Supplies),Low-Value,Jan 2021,75,1,10,61
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2022,17,1,0,62
Corporate,East,Other Miscellaneous 1,Low-Value,Jul 2022,53,8,0,60
Consumer,West,Appliances,High-Value,Jul 2021,115,11,0,62
Home Office,Central,Fasteners,Low-Value,Jul 2022,54,5,0,57
Corporate,East,Other Miscellaneous 4,Low-Value,Jul 2020,24,7,0,59
Home Office,West,Art,Low-Value,Jul 2022,50,13,5,55
Home Office,West,Other Miscellaneous 6,Low-Value,Jul 2020,1,1,10,61
Corporate,South,Bookcases,High-Value,Jul 2021,74,2,0,61
Consumer,East,Other Miscellaneous 5,Low-Value,Jul 2022,1,1,0,63
Corporate,Central,Other Miscellaneous 3,Low-Value,Jul 2022,6,1,0,64
Home Office,Central,Bookcases,High-Value,Jan 2020,120,16,10,63
Corporate,West,Art,Low-Value,Jan 2021,82,11,10,59
Consumer,South,Art,Low-Value,Jul 2021,87,18,0,58
Consumer,East,Paper,Mid-Value,Jan 2022,87,7,0,61
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2020,25,7,0,60
Home Office,West,Paper,Mid-Value,Jul 2022,75,15,0,61
Home Office,West,Copiers,High-Value,Jan 2021,134,15,10,61
Home Office,East,Paper,Mid-Value,Jul 2021,86,12,10,56
Corporate,East,Bookcases,High-Value,Jan 2021,56,9,0,60
Consumer,East,Art,Low-Value,Jan 2020,66,4,0,61
Corporate,East,Other Miscellaneous 1,Low-Value,Jul 2020,23,1,0,63
Consumer,South,Art,Low-Value,Jul 2020,79,12,0,62
Consumer,Central,Appliances,High-Value,Jan 2022,89,2,0,60
Corporate,Central,Bookcases,High-Value,Jan 2022,87,4,0,65
Corporate,East,Other Miscellaneous 3,Low-Value,Jul 2020,7,2,0,59
Corporate,South,Bookcases,High-Value,Jul 2022,105,11,5,61
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2022,14,1,0,59
Corporate,West,Accessories,High-Value,Jul 2022,151,16,0,62
Consumer,Central,Bookcases,High-Value,Jul 2021,109,14,0,62
Consumer,Central,Other Miscellaneous 3,Low-Value,Jan 2020,11,7,0,62
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2022,17,10,0,59
Corporate,East,Art,Low-Value,Jan 2021,68,14,0,59
Home Office,Central,Other Miscellaneous 6,Low-Value,Jan 2021,15,1,5,62
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2021,16,5,0,59
Home Office,West,Labels,Low-Value,Jul 2020,57,16,0,62
Corporate,Central,Art,Low-Value,Jul 2020,55,13,0,59
Corporate,West,Employees (Office Supplies),Low-Value,Jan 2022,54,8,0,62
Corporate,West,Bookcases,High-Value,Jan 2021,127,18,0,62
Consumer,South,Appliances,High-Value,Jul 2021,129,13,0,64
Consumer,West,Fasteners,Low-Value,Jul 2022,40,6,0,63
Home Office,East,Other Miscellaneous 5,Low-Value,Jan 2021,1,1,0,63
Home Office,West,Fasteners,Low-Value,Jul 2020,39,8,5,64
Home Office,West,Other Miscellaneous 5,Low-Value,Jul 2020,1,2,0,60
Consumer,South,Other Miscellaneous 2,Low-Value,Jan 2022,44,11,0,62
Corporate,East,Other Miscellaneous 1,Low-Value,Jul 2021,36,1,0,62
Home Office,East,Other Miscellaneous 3,Low-Value,Jul 2020,37,7,0,60
Corporate,East,Accessories,High-Value,Jan 2022,166,20,10,63
Home Office,East,Paper,Mid-Value,Jan 2020,111,14,0,60
Corporate,West,Fasteners,Low-Value,Jan 2022,61,15,5,61
Home Office,South,Copiers,High-Value,Jul 2022,164,20,0,58
Corporate,Central,Supplies,Mid-Value,Jan 2021,126,24,0,63
Consumer,East,Art,Low-Value,Jan 2022,76,2,0,60
Corporate,West,Other Miscellaneous 5,Low-Value,Jan 2022,1,1,0,61
Home Office,Central,Accessories,High-Value,Jul 2020,150,25,0,59
Corporate,East,Fasteners,Low-Value,Jul 2022,61,3,0,60
Corporate,West,Other Miscellaneous 4,Low-Value,Jan 2021,8,2,0,58
Home Office,West,Business Machines,High-Value,Jul 2022,181,17,5,57
Consumer,South,Accessories,High-Value,Jan 2022,139,26,10,61
Consumer,Central,Other Miscellaneous 4,Low-Value,Jul 2020,21,5,0,58
Consumer,South,Appliances,High-Value,Jul 2020,72,8,0,64
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2021,1,1,0,58
Consumer,West,Appliances,High-Value,Jan 2021,128,14,0,66
Consumer,Central,Fasteners,Low-Value,Jan 2022,39,9,0,56
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2022,3,1,0,60
Corporate,West,Fasteners,Low-Value,Jul 2022,69,3,0,63
Corporate,East,Labels,Low-Value,Jul 2022,62,3,0,61
Consumer,Central,Fasteners,Low-Value,Jan 2022,57,7,0,63
Consumer,West,Fasteners,Low-Value,Jul 2020,1,1,10,58
Corporate,East,Other Miscellaneous 2,Low-Value,Jul 2020,12,1,5,60
Corporate,South,Labels,Low-Value,Jul 2022,38,7,10,63
Corporate,South,Appliances,High-Value,Jan 2021,100,11,0,62
Corporate,East,Other Miscellaneous 6,Low-Value,Jan 2020,1,7,0,60
Consumer,South,Employees (Office Supplies),Low-Value,Jul 2021,44,4,0,58
Consumer,West,Other Miscellaneous 5,Low-Value,Jul 2021,23,9,0,61
Consumer,South,Paper,Mid-Value,Jul 2022,137,14,5,61
Consumer,South,Copiers,High-Value,Jul 2022,166,22,5,61
Corporate,West,Furnishings,High-Value,Jan 2020,116,17,0,61
Home Office,East,Bookcases,High-Value,Jul 2021,84,8,5,60
Corporate,South,Other Miscellaneous 2,Low-Value,Jul 2022,12,5,0,60
Consumer,East,Other Miscellaneous 1,Low-Value,Jul 2020,4,1,0,59
Corporate,Central,Labels,Low-Value,Jan 2022,68,5,0,56
Consumer,South,Other Miscellaneous 3,Low-Value,Jan 2022,12,1,0,59
Corporate,South,Other Miscellaneous 1,Low-Value,Jul 2022,60,10,0,60
Consumer,East,Paper,Mid-Value,Jan 2020,65,10,0,60
Corporate,West,Fasteners,Low-Value,Jan 2020,59,6,0,61
Corporate,Central,Other Miscellaneous 5,Low-Value,Jul 2020,1,5,5,61
Home Office,West,Art,Low-Value,Jan 2021,70,6,0,58
Home Office,Central,Copiers,High-Value,Jul 2022,142,14,0,60
Corporate,West,Paper,Mid-Value,Jul 2021,91,9,0,65
Corporate,West,Other Miscellaneous 4,Low-Value,Jan 2021,15,2,0,60
Corporate,East,Other Miscellaneous 2,Low-Value,Jul 2020,26,1,0,57
Home Office,East,Bookcases,High-Value,Jul 2020,87,12,0,61
Corporate,South,Furnishings,High-Value,Jan 2022,111,15,10,59
Corporate,South,Art,Low-Value,Jan 2021,61,1,0,60
Corporate,South,Other Miscellaneous 1,Low-Value,Jan 2021,55,2,5,61
Home Office,West,Fasteners,Low-Value,Jan 2022,34,12,0,61
Corporate,West,Business Machines,High-Value,Jul 2022,142,25,0,60
Consumer,Central,Furnishings,High-Value,Jul 2021,61,6,0,61
Consumer,Central,Other Miscellaneous 3,Low-Value,Jul 2022,34,1,5,61
Consumer,West,Employees (Office Supplies),Low-Value,Jul 2021,38,1,0,59
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2020,1,1,0,59
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2022,14,1,0,60
Consumer,Central,Bookcases,High-Value,Jan 2021,84,9,0,59
Corporate,East,Bookcases,High-Value,Jul 2021,90,12,0,61
Home Office,East,Fasteners,Low-Value,Jan 2021,72,11,0,57
Corporate,West,Employees (Office Supplies),Low-Value,Jul 2022,43,3,10,59
Home Office,East,Appliances,High-Value,Jul 2020,121,22,0,61
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2022,34,2,0,61
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2022,1,3,5,55
Consumer,Central,Accessories,High-Value,Jul 2022,138,11,0,61
Home Office,East,Employees (Office Supplies),Low-Value,Jul 2021,52,10,0,59
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2020,39,1,0,61
Corporate,West,Appliances,High-Value,Jan 2021,61,15,0,60
Consumer,West,Other Miscellaneous 5,Low-Value,Jan 2021,9,1,0,62
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2021,32,1,0,59
Consumer,South,Furnishings,High-Value,Jan 2021,106,18,0,60
Consumer,East,Other Miscellaneous 2,Low-Value,Jul 2022,35,1,0,58
Home Office,South,Furnishings,High-Value,Jan 2022,89,10,0,59
Corporate,Central,Business Machines,High-Value,Jan 2021,181,23,0,59
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2021,3,1,0,63
Consumer,East,Business Machines,High-Value,Jan 2021,220,27,0,63
Home Office,West,Paper,Mid-Value,Jan 2022,59,8,0,62
Home Office,West,Supplies,Mid-Value,Jul 2021,128,13,0,60
Consumer,South,Appliances,High-Value,Jul 2022,131,10,0,61
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2022,11,1,0,58
Consumer,West,Labels,Low-Value,Jul 2020,35,6,0,60
Corporate,West,Other Miscellaneous 1,Low-Value,Jan 2020,13,1,0,62
Home Office,East,Accessories,High-Value,Jan 2020,156,16,0,60
Corporate,West,Supplies,Mid-Value,Jul 2022,119,8,0,61
Consumer,Central,Fasteners,Low-Value,Jan 2021,52,12,0,59
Consumer,East,Art,Low-Value,Jul 2020,75,7,0,64
Consumer,Central,Bookcases,High-Value,Jan 2020,90,7,0,60
Corporate,East,Accessories,High-Value,Jul 2021,159,19,0,59
Home Office,Central,Other Miscellaneous 6,Low-Value,Jul 2022,28,1,0,61
Consumer,West,Appliances,High-Value,Jan 2022,136,8,0,61
Consumer,West,Other Miscellaneous 2,Low-Value,Jan 2020,16,2,0,57
Corporate,South,Other Miscellaneous 3,Low-Value,Jan 2022,1,1,10,59
Corporate,Central,Other Miscellaneous 1,Low-Value,Jul 2022,21,1,0,61
Corporate,Central,Fasteners,Low-Value,Jul 2021,66,9,0,57
Corporate,West,Other Miscellaneous 2,Low-Value,Jul 2020,59,2,5,60
Home Office,South,Other Miscellaneous 6,Low-Value,Jul 2022,3,1,0,59
Consumer,East,Accessories,High-Value,Jul 2020,147,21,0,59
Home Office,South,Bookcases,High-Value,Jul 2021,120,5,0,58
Home Office,West,Other Miscellaneous 1,Low-Value,Jan 2020,48,1,0,63
Corporate,South,Furnishings,High-Value,Jul 2022,111,17,0,62
Consumer,Central,Appliances,High-Value,Jul 2021,107,3,0,63
Consumer,Central,Bookcases,High-Value,Jul 2022,89,14,0,61
Consumer,Central,Supplies,Mid-Value,Jan 2022,86,12,0,62
Home Office,East,Other Miscellaneous 1,Low-Value,Jan 2021,82,1,0,62
Consumer,Central,Other Miscellaneous 2,Low-Value,Jul 2022,14,7,0,57
Consumer,East,Paper,Mid-Value,Jul 2021,88,6,5,56
Home Office,West,Business Machines,High-Value,Jan 2022,165,12,0,61
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2021,45,6,0,61
Consumer,East,Art,Low-Value,Jan 2022,97,9,5,60
Home Office,East,Furnishings,High-Value,Jul 2021,91,15,0,61
Corporate,West,Bookcases,High-Value,Jul 2020,94,10,0,59
Corporate,West,Appliances,High-Value,Jul 2021,102,7,0,61
Consumer,Central,Bookcases,High-Value,Jul 2021,116,10,0,61
Corporate,West,Copiers,High-Value,Jul 2021,197,17,0,64
Corporate,Central,Paper,Mid-Value,Jan 2020,70,9,0,61
Corporate,East,Accessories,High-Value,Jan 2022,139,15,0,61
Home Office,East,Labels,Low-Value,Jan 2021,23,9,10,65
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2021,20,8,0,61
Consumer,West,Bookcases,High-Value,Jan 2022,108,11,0,59
Home Office,East,Other Miscellaneous 2,Low-Value,Jan 2022,45,7,5,61
Corporate,South,Supplies,Mid-Value,Jul 2022,78,6,5,60
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2022,59,6,0,59
Consumer,East,Business Machines,High-Value,Jul 2020,181,11,0,60
Consumer,West,Bookcases,High-Value,Jul 2022,103,18,0,58
Consumer,Central,Other Miscellaneous 2,Low-Value,Jul 2022,33,15,0,58
Corporate,West,Supplies,Mid-Value,Jul 2021,67,5,0,60
Corporate,Central,Fasteners,Low-Value,Jul 2020,44,4,0,60
Corporate,West,Art,Low-Value,Jul 2022,15,3,0,60
Consumer,South,Other Miscellaneous 1,Low-Value,Jan 2020,30,6,5,61
Corporate,East,Supplies,Mid-Value,Jul 2022,135,20,0,60
Consumer,South,Business Machines,High-Value,Jul 2021,189,22,0,62
Corporate,East,Other Miscellaneous 2,Low-Value,Jul 2021,33,8,0,60
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2022,4,1,0,60
Corporate,East,Other Miscellaneous 1,Low-Value,Jan 2022,30,9,5,62
Consumer,Central,Other Miscellaneous 6,Low-Value,Jul 2022,1,4,5,63
Home Office,West,Other Miscellaneous 3,Low-Value,Jan 2020,4,5,0,60
Corporate,Central,Supplies,Mid-Value,Jan 2022,94,17,0,59
Consumer,West,Furnishings,High-Value,Jul 2022,88,11,0,60
Corporate,South,Other Miscellaneous 1,Low-Value,Jul 2020,18,8,0,60
Consumer,East,Supplies,Mid-Value,Jul 2020,101,12,5,60
Corporate,West,Bookcases,High-Value,Jul 2022,94,12,0,59
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2022,4,1,0,61
Consumer,West,Business Machines,High-Value,Jan 2020,186,26,10,61
Consumer,West,Other Miscellaneous 2,Low-Value,Jan 2021,48,5,0,61
Consumer,East,Accessories,High-Value,Jul 2020,162,14,0,60
Corporate,Central,Labels,Low-Value,Jul 2021,90,13,0,58
Consumer,Central,Employees (Office Supplies),Low-Value,Jul 2022,48,4,0,61
Corporate,Central,Employees (Office Supplies),Low-Value,Jan 2020,44,1,0,62
Home Office,West,Appliances,High-Value,Jul 2020,125,10,0,61
Corporate,East,Labels,Low-Value,Jul 2021,43,10,0,59
Consumer,East,Fasteners,Low-Value,Jul 2022,44,1,0,59
Consumer,South,Copiers,High-Value,Jul 2021,167,22,0,62
Consumer,East,Employees (Office Supplies),Low-Value,Jul 2020,79,8,5,62
Corporate,Central,Furnishings,High-Value,Jul 2020,97,19,0,60
Consumer,South,Paper,Mid-Value,Jan 2021,110,25,0,60
Corporate,South,Business Machines,High-Value,Jul 2022,182,22,0,57
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2020,22,3,0,61
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2022,19,3,0,62
Consumer,Central,Accessories,High-Value,Jul 2021,156,15,0,61
Consumer,East,Other Miscellaneous 2,Low-Value,Jul 2021,64,7,0,63
Home Office,South,Bookcases,High-Value,Jan 2022,106,16,0,62
Consumer,East,Other Miscellaneous 6,Low-Value,Jan 2021,1,1,0,59
Consumer,Central,Other Miscellaneous 2,Low-Value,Jul 2022,72,12,0,63
Consumer,Central,Art,Low-Value,Jul 2021,59,6,0,62
Consumer,Central,Copiers,High-Value,Jan 2021,147,21,0,60
Consumer,East,Paper,Mid-Value,Jan 2020,136,16,0,60
Consumer,South,Art,Low-Value,Jan 2021,67,14,0,58
Corporate,West,Business Machines,High-Value,Jul 2022,176,23,0,60
Home Office,South,Other Miscellaneous 1,Low-Value,Jan 2021,36,2,0,60
Consumer,East,Other Miscellaneous 1,Low-Value,Jul 2020,28,13,0,59
Corporate,West,Accessories,High-Value,Jul 2022,100,2,0,61
Consumer,West,Other Miscellaneous 6,Low-Value,Jul 2021,1,6,0,60
Consumer,Central,Employees (Office Supplies),Low-Value,Jul 2022,39,1,0,61
Consumer,East,Paper,Mid-Value,Jul 2022,146,18,5,61
Corporate,South,Other Miscellaneous 6,Low-Value,Jan 2022,1,1,10,58
Corporate,West,Employees (Office Supplies),Low-Value,Jan 2021,43,6,0,64
Consumer,West,Furnishings,High-Value,Jan 2021,82,6,0,62
Corporate,South,Other Miscellaneous 2,Low-Value,Jul 2022,58,9,0,58
Corporate,West,Other Miscellaneous 5,Low-Value,Jan 2022,11,3,5,62
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2022,34,1,0,61
Home Office,East,Employees (Office Supplies),Low-Value,Jul 2021,54,14,5,61
Consumer,East,Business Machines,High-Value,Jul 2022,157,14,0,61
Home Office,South,Appliances,High-Value,Jul 2021,95,8,5,58
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2020,47,7,0,58
Home Office,West,Furnishings,High-Value,Jul 2022,77,1,0,60
Consumer,Central,Employees (Office Supplies),Low-Value,Jan 2020,30,1,0,61
Consumer,South,Copiers,High-Value,Jul 2021,134,17,10,58
Consumer,West,Other Miscellaneous 4,Low-Value,Jul 2021,43,8,0,64
Consumer,East,Labels,Low-Value,Jul 2021,59,6,0,58
Home Office,West,Art,Low-Value,Jan 2021,67,1,0,60
Consumer,South,Furnishings,High-Value,Jan 2022,114,9,0,61
Corporate,West,Other Miscellaneous 1,Low-Value,Jan 2021,12,5,0,59
Consumer,Central,Appliances,High-Value,Jul 2022,102,13,0,60
Consumer,Central,Other Miscellaneous 6,Low-Value,Jul 2020,22,10,10,57
Home Office,Central,Furnishings,High-Value,Jul 2022,48,7,0,61
Home Office,East,Bookcases,High-Value,Jan 2021,109,14,0,58
Home Office,Central,Other Miscellaneous 6,Low-Value,Jan 2021,1,1,0,62
Home Office,East,Other Miscellaneous 1,Low-Value,Jul 2021,51,9,0,64
Consumer,South,Accessories,High-Value,Jul 2021,144,25,10,56
Corporate,Central,Other Miscellaneous 4,Low-Value,Jan 2022,1,1,0,60
Home Office,West,Other Miscellaneous 2,Low-Value,Jul 2020,6,17,0,59
Consumer,West,Other Miscellaneous 5,Low-Value,Jul 2020,4,1,0,60
Corporate,South,Employees (Office Supplies),Low-Value,Jul 2022,22,1,0,60
Corporate,West,Accessories,High-Value,Jul 2021,122,13,0,60
Home Office,South,Appliances,High-Value,Jul 2022,122,12,0,62
Corporate,East,Other Miscellaneous 4,Low-Value,Jul 2021,20,2,5,56
Consumer,West,Art,Low-Value,Jul 2022,90,9,0,60
Corporate,West,Employees (Office Supplies),Low-Value,Jul 2022,88,5,0,64
Corporate,Central,Copiers,High-Value,Jan 2022,148,14,0,63
Home Office,West,Accessories,High-Value,Jul 2021,159,19,0,60
Consumer,Central,Copiers,High-Value,Jul 2021,145,14,0,59
Home Office,West,Labels,Low-Value,Jul 2020,48,7,5,64
Home Office,West,Other Miscellaneous 2,Low-Value,Jan 2022,31,1,0,60
Consumer,Central,Other Miscellaneous 6,Low-Value,Jan 2021,5,3,0,61
Consumer,West,Business Machines,High-Value,Jul 2022,184,26,0,60
Consumer,West,Fasteners,Low-Value,Jul 2020,60,8,10,59
Home Office,Central,Labels,Low-Value,Jan 2022,20,1,0,57
Consumer,South,Supplies,Mid-Value,Jul 2020,121,14,0,62
Consumer,West,Accessories,High-Value,Jan 2021,155,21,0,61
Corporate,West,Business Machines,High-Value,Jan 2021,194,17,0,62
Consumer,West,Other Miscellaneous 6,Low-Value,Jul 2021,4,7,0,60
Consumer,South,Employees (Office Supplies),Low-Value,Jul 2022,19,5,5,59
Corporate,South,Employees (Office Supplies),Low-Value,Jan 2020,65,1,0,61
Corporate,West,Supplies,Mid-Value,Jul 2020,80,14,0,60
Consumer,West,Appliances,High-Value,Jul 2022,81,20,10,61
Consumer,East,Paper,Mid-Value,Jul 2021,81,7,0,61
Consumer,West,Furnishings,High-Value,Jan 2020,99,7,0,59
Consumer,South,Other Miscellaneous 6,Low-Value,Jul 2020,54,3,0,59
Consumer,Central,Other Miscellaneous 4,Low-Value,Jul 2022,6,1,0,61
Consumer,Central,Fasteners,Low-Value,Jan 2022,54,6,0,55
Consumer,East,Art,Low-Value,Jul 2020,83,14,0,66
Corporate,East,Supplies,Mid-Value,Jan 2022,106,17,0,59
Corporate,West,Appliances,High-Value,Jan 2021,105,10,0,61
Home Office,West,Business Machines,High-Value,Jan 2020,177,19,0,61
Corporate,Central,Fasteners,Low-Value,Jan 2020,47,8,0,62
Corporate,East,Labels,Low-Value,Jan 2020,23,1,0,59
Consumer,West,Furnishings,High-Value,Jan 2022,113,13,0,61
Corporate,West,Accessories,High-Value,Jan 2020,168,24,0,61
Consumer,Central,Other Miscellaneous 2,Low-Value,Jul 2021,28,7,0,62
Corporate,South,Art,Low-Value,Jul 2020,58,7,0,61
Consumer,Central,Supplies,Mid-Value,Jul 2021,135,12,0,59
Home Office,West,Other Miscellaneous 6,Low-Value,Jan 2022,21,1,10,61
Consumer,South,Fasteners,Low-Value,Jan 2022,26,1,0,61
Consumer,East,Other Miscellaneous 4,Low-Value,Jul 2021,25,1,5,62
Consumer,Central,Other Miscellaneous 6,Low-Value,Jan 2022,9,1,0,59
Consumer,West,Other Miscellaneous 6,Low-Value,Jan 2022,40,5,0,58
Consumer,West,Labels,Low-Value,Jul 2022,74,10,0,59
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2021,23,1,10,60
Consumer,West,Other Miscellaneous 5,Low-Value,Jan 2022,31,1,0,61
Corporate,East,Business Machines,High-Value,Jul 2021,223,22,0,60
Consumer,South,Business Machines,High-Value,Jan 2021,160,11,5,64
Consumer,West,Business Machines,High-Value,Jan 2021,169,15,0,62
Consumer,East,Fasteners,Low-Value,Jan 2021,36,1,0,58
Corporate,Central,Other Miscellaneous 2,Low-Value,Jul 2020,29,9,0,59
Consumer,East,Business Machines,High-Value,Jan 2022,201,22,0,57
Home Office,West,Art,Low-Value,Jul 2020,66,4,0,56
Corporate,Central,Employees (Office Supplies),Low-Value,Jan 2021,18,1,0,59
Home Office,South,Accessories,High-Value,Jan 2022,164,23,0,57
Consumer,West,Employees (Office Supplies),Low-Value,Jan 2020,46,1,0,60
Consumer,Central,Other Miscellaneous 2,Low-Value,Jul 2020,1,1,0,61
Consumer,Central,Supplies,Mid-Value,Jan 2022,143,16,0,59
Consumer,East,Furnishings,High-Value,Jul 2021,68,9,5,62
Home Office,South,Other Miscellaneous 1,Low-Value,Jul 2022,48,6,0,58
Corporate,East,Bookcases,High-Value,Jan 2021,104,14,0,59
Consumer,West,Paper,Mid-Value,Jul 2021,107,16,0,61
Consumer,West,Paper,Mid-Value,Jan 2022,104,20,0,63
Consumer,Central,Accessories,High-Value,Jan 2020,161,13,5,60
Consumer,East,Appliances,High-Value,Jul 2021,108,16,0,64
Consumer,West,Paper,Mid-Value,Jul 2021,92,12,0,62
Corporate,East,Employees (Office Supplies),Low-Value,Jan 2021,74,5,0,60
Consumer,South,Accessories,High-Value,Jan 2020,139,18,0,59
Home Office,East,Art,Low-Value,Jan 2021,74,8,0,61
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2020,27,1,0,59
Corporate,East,Labels,Low-Value,Jan 2022,35,16,0,59
Home Office,East,Other Miscellaneous 4,Low-Value,Jul 2022,1,2,0,54
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2022,24,4,5,62
Consumer,Central,Fasteners,Low-Value,Jul 2022,35,5,0,60
Consumer,West,Appliances,High-Value,Jan 2022,107,1,5,63
Consumer,East,Copiers,High-Value,Jan 2021,143,31,5,59
Home Office,West,Employees (Office Supplies),Low-Value,Jul 2022,53,2,5,62
Corporate,South,Furnishings,High-Value,Jul 2020,73,6,0,60
Consumer,Central,Other Miscellaneous 3,Low-Value,Jul 2022,41,1,0,61
Consumer,Central,Supplies,Mid-Value,Jan 2020,109,10,0,60
Consumer,Central,Paper,Mid-Value,Jan 2022,85,8,0,62
Home Office,East,Bookcases,High-Value,Jul 2020,106,8,0,58
Home Office,West,Other Miscellaneous 1,Low-Value,Jul 2022,22,2,0,62
Corporate,Central,Employees (Office Supplies),Low-Value,Jan 2022,38,3,0,63
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2022,1,1,0,62
Consumer,West,Furnishings,High-Value,Jul 2022,63,3,0,63
Home Office,East,Appliances,High-Value,Jan 2022,75,22,0,61
Corporate,West,Appliances,High-Value,Jan 2021,108,8,10,62
Consumer,South,Art,Low-Value,Jul 2021,66,15,0,59
